num1,num2,num3,num4,num5,num6,num7,Created_at
11,12,17,22,37,38,41,12/28/2023 16:22
1,8,14,18,19,24,33,12/28/2023 16:25
12,20,26,28,29,34,39,12/28/2023 16:33
8,14,21,24,28,34,40,12/28/2023 16:34
4,8,11,19,23,29,34,12/28/2023 16:36
2,9,10,14,15,18,27,12/28/2023 16:38
6,10,12,16,26,31,38,12/28/2023 16:40
1,13,17,25,33,36,37,12/28/2023 16:43
3,9,10,13,20,34,39,12/28/2023 16:44
1,8,9,12,17,20,38,12/28/2023 16:46
10,13,23,25,32,39,40,12/28/2023 16:48
2,7,16,20,39,40,42,12/28/2023 16:50
7,8,15,21,24,26,38,12/28/2023 16:52
1,3,6,12,30,36,39,12/28/2023 16:54
2,5,7,10,13,22,27,12/28/2023 16:56
12,15,16,17,29,30,31,12/28/2023 16:58
8,11,12,15,16,27,31,12/28/2023 17:00
7,15,20,27,31,33,36,12/28/2023 17:02
4,8,22,28,32,36,41,12/28/2023 17:04
1,4,8,11,17,18,41,12/28/2023 17:06
4,20,21,36,38,39,42,12/28/2023 17:08
2,4,5,14,15,17,32,12/28/2023 17:10
3,17,18,20,26,32,35,12/28/2023 17:12
1,3,5,11,16,17,27,12/28/2023 17:14
8,12,21,27,28,33,38,12/28/2023 17:16
3,4,10,11,19,40,42,12/28/2023 17:18
6,10,12,18,25,31,41,12/28/2023 17:21
2,16,25,30,39,41,42,12/28/2023 17:22
9,24,28,33,38,41,42,12/28/2023 17:24
4,6,19,24,29,37,38,12/28/2023 17:26
